IE_XML_ID;IE_NAME;IE_ID;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_SORT;IE_TAGS;IP_PROP31;IP_PROP32;IP_PROP33;IP_PROP34;IC_GROUP0;IC_GROUP1;IC_GROUP2
257;Подарок «Анкор – 8 Марта»;526;Y;27.08.2014 19:21:12;;/upload/iblock/c57/c575f74bdb2d4ea702ac2348b5374eae.jpg;"Подарок «Анкор – 8 Марта».
Бумажный пакет с атласными лентами, печать пантоном + выборочный УФ-лак, открытка 1+1 так же с выборочным лаком, коробка вырубная с вложенным тишью и платком с индивидуальным рисунком
";html;/upload/iblock/bdf/bdf4d00a42546d864dba9441616b67e1.jpg;"Бумажный пакет с атласными лентами, печать пантоном + выборочный УФ-лак, открытка 1+1 так же с выборочным лаком, коробка вырубная с вложенным тишью и платком с индивидуальным рисунком.
";html;ankor-suv1;500;;Подарок «Анкор – 8 Марта»;Подарок «Анкор – 8 Марта»;Подарок «Анкор – 8 Марта»;/upload/iblock/e49/e49b176afccf6b8e47aad37d3e34c981.jpg;Печать на сувенирах;;
258;Новогодний подарок «Анкор» для глинтвейна;527;Y;27.08.2014 19:22:45;;/upload/iblock/278/278ae4e0a97f367687765453a5ebcc01.jpg;"Новогодний подарок «Анкор» для глинтвейна.
Мешочки с вышивкой под специи, два бокала с логотипом, бирдекель, открытка и настольный календарь индивидуально упакованы в кашированную коробку и бумажный пакет

";html;/upload/iblock/6ec/6ecee29f5e37a9ec554423bd9f24a2ec.jpg;"Мешочки с вышивкой под специи, два бокала с логотипом, бирдекель, открытка и настольный календарь индивидуально упакованы в кашированную коробку и бумажный пакет.
";html;ankor-suv2;500;;Новогодний подарок «Анкор» для глинтвейна;Новогодний подарок «Анкор» для глинтвейна;Новогодний подарок «Анкор» для глинтвейна;/upload/iblock/09c/09c4bfb8430cd4fa66b9769ab08e300b.jpg;Печать на сувенирах;;
258;Новогодний подарок «Анкор» для глинтвейна;527;Y;27.08.2014 19:22:45;;/upload/iblock/278/278ae4e0a97f367687765453a5ebcc01.jpg;"Новогодний подарок «Анкор» для глинтвейна.
Мешочки с вышивкой под специи, два бокала с логотипом, бирдекель, открытка и настольный календарь индивидуально упакованы в кашированную коробку и бумажный пакет

";html;/upload/iblock/6ec/6ecee29f5e37a9ec554423bd9f24a2ec.jpg;"Мешочки с вышивкой под специи, два бокала с логотипом, бирдекель, открытка и настольный календарь индивидуально упакованы в кашированную коробку и бумажный пакет.
";html;ankor-suv2;500;;Новогодний подарок «Анкор» для глинтвейна;Новогодний подарок «Анкор» для глинтвейна;Новогодний подарок «Анкор» для глинтвейна;/upload/iblock/d51/d511782697fbe5fb95cf9618c9d30135.jpg;Печать на сувенирах;;
197;Атлас торговли и услуг Северо-Западного административного округа города Москвы;470;Y;24.04.2014 16:44:18;;/upload/iblock/5e4/5e424ad3d29d8153bf6c1cfef67aef30.jpg;;html;;<p>Подарочная упаковка, дизайнерская серебряная бумага, кашировка,тиснение</p>;html;atlas-torgovli-i-uslug;1000;;Атлас торговли и услуг Северо-Западного административного округа города Москвы;Атлас торговли и услуг Северо-Западного административного округа города Москвы;Атлас торговли и услуг Северо-Западного административного округа города Москвы;/upload/iblock/7b7/7b7a92c423659d0f4f578e6fbe370d2a.jpg;Каталоги;;
256;Новогодний подарок «Банк Зенит 2012»;525;Y;27.08.2014 19:19:04;;/upload/iblock/3e7/3e72eb5ec165e275af3d19bf3d663bd0.jpg;"Новогодний подарок «Банк Зенит 2012».
Квартальный календарь с индивидуальным блоком, настольный календарь, открытка, пластиковая копилка с различными сторонами и с замком, Подарочное издание «Ключ к винному погребу» 
";html;/upload/iblock/8cb/8cb6b8f97de4ca82e11aff4cef1bef81.jpg;"Квартальный календарь с индивидуальным блоком, настольный календарь, открытка, пластиковая копилка с различными сторонами и с замком, Подарочное издание «Ключ к винному погребу» .
";html;bank-zenit;500;;;Компания СловоДело предоставляет услугу по печати на сувенирах. Изготавливает новогодний подарок Банк Зенит 2012;;/upload/iblock/60c/60cc13ab34325dbc6de834f59fd75ec1.jpg;Печать на сувенирах;;
232;Визитки Bars;501;Y;26.08.2014 18:34:44;;/upload/iblock/ed3/ed38ea90c325db8c70fa6af3b54b7fc6.jpg;Белый лен, цифровая печать;html;/upload/iblock/4c3/4c3ceeff14f9191158de4d15d1e8652a.jpg;Белый лен, цифровая печать.;html;bars;500;;;Компания СловоДело изготавливает полиграфическую продукцию, визитные карточки Bars на цифровой печати;;;Деловая полиграфия;Визитки;
284;Листовка А5 BEERLINE;541;Y;10.03.2015 17:45:53;;/upload/iblock/a5c/a5ce91d63f601a688cbeee0cfbfec7f2.jpg;Бумага 135гр. 4+0;html;;"<p>Листовка Beerline формат А5, мелованная бумага, полноцветная печать</p>
";html;beerline-a5;500;;;Компания СловоДело предоставляет услугу по печати и изготовлению листовок А5 Beerline с полноцветной печатью;;/upload/iblock/1ba/1baebfb674ff67f261e54f47f4366508.jpg;Листовки;;
265;Подарочный набоор Big Fish;534;Y;17.09.2014 15:24:13;;/upload/iblock/38b/38b88c02807d9d4c4c812c13da01ccd1.jpg;Подарочный набор, корбка для кубарика и Ежедневник на пружине, 7бц, индивидуальный блок.;html;/upload/iblock/3a2/3a22aa587467cebb2682645e3a34837b.jpg;Подарочный набор, корбка для кубарика и Ежедневник на пружине, 7бц, индивидуальный блок.;html;big-fish-nabor;500;;Подарочный набоор Big Fish;Подарочный набоор Big Fish;Подарочный набоор Big Fish;/upload/iblock/5ba/5ba8dff8380474cc0b845cb70695ac72.jpg;Ежедневники, планинги;;
252;Бизнес-подарок «стандарт»;521;Y;27.08.2014 19:12:57;;/upload/iblock/dca/dca73f2d757e26da5ca7a4c91241b8c6.jpg;"Бизнес-подарок «стандарт».
Ежедневник, еженедельник и записная книга со стандартным блоком, упакованные в подарочную коробку. Возможно брендирование коробки и обложек изделий
";html;/upload/iblock/0ca/0ca74a378b4d7590868925e3024cec7a.jpg;".
Ежедневник, еженедельник и записная книга со стандартным блоком, упакованные в подарочную коробку. Возможно брендирование коробки и обложек изделий.
";html;biznes-podarok;500;;;Компания СловоДело предоставляет услугу по изготовлению Бизнес подарка стандарт в котором имеется: ежедневник, записная книга со стандартным блоком;;;Печать на сувенирах;;
217;Самокопирующиеся бланки;486;Y;26.08.2014 17:28:20;;/upload/iblock/fe9/fe9f6db725f405108cbb4a840a144571.JPG;Бланки самокопирующиеся, евроформат, 2 листа, нумерация;html;/upload/iblock/c56/c56d61f6651078b2528ddf070ffdb7d0.JPG;Бланки самокопирующиеся, евроформат, 2 листа, нумерация.;html;blank;500;;Самокопирующиеся бланки;Самокопирующиеся бланки;Самокопирующиеся бланки;;Деловая полиграфия;Бланки;
